album,trackindex,track,albumart_url,,,
Something About Airplanes,1,Bend to Squares,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,2,President of What?,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,3,Champagne from a Paper Cup,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,4,Your Bruise,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,5,Pictures in an Exhibition,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,6,Sleep Spent,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,7,The Face That Launched 1000 Shits,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,8,Amputations,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,9,Fake Frowns,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
Something About Airplanes,10,Line of Best Fit,https://upload.wikimedia.org/wikipedia/en/6/63/DeathCabSomething.jpg,,,
We Have the Facts and We're Voting Yes,1,Title Track,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,2,The Employment Pages,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,3,For What Reason,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,4,"Lowell, MA",https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,5,405,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,6,Little Fury Bugs,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,7,Company Calls,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,8,Company Calls Epilogue,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,9,No Joy in Mudville,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
We Have the Facts and We're Voting Yes,10,Scientist Studies,https://upload.wikimedia.org/wikipedia/en/1/1d/Death_Cab_For_Cutie-We_Have_the_Facts_and_We%27re_Voting_Yes.jpg,,,
The Photo Album,1,Steadier Footing,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,2,A Movie Script Ending,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,3,We Laugh Indoors,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,4,Information Travels Faster,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,5,Why You'd Want to Live Here,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,6,Blacking Out the Friction,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,7,I Was a Kaleidoscope,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,8,Styrofoam Plates,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,9,Coney Island,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
The Photo Album,10,Debate Exposes Doubt,https://upload.wikimedia.org/wikipedia/en/0/0d/DeathCabPhotoAlbum.jpg,,,
Transatlanticism,1,The New Year,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,2,Lightness,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,3,Title and Registration,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,4,Expo '86,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,5,The Sound of Settling,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,6,Tiny Vessels,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,7,Transatlanticism,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,8,Passenger Seat,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,9,Death of an Interior Decorator,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,10,We Looked Like Giants,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Transatlanticism,11,A Lack of Color,https://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,,,
Plans,1,Marching Bands of Manhattan,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,2,Soul Meets Body,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,3,Summer Skin,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,4,Different Names for the Same Thing,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,5,I Will Follow You into the Dark,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,6,Your Heart Is an Empty Room,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,7,Someday You Will Be Loved,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,8,Crooked Teeth,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,9,What Sarah Said,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,10,Brothers on a Hotel Bed,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Plans,11,Stable Song,https://upload.wikimedia.org/wikipedia/en/b/b6/Death_Cab_For_Cutie_-_Plans.png,,,
Narrow Stairs,1,Bixby Canyon Bridge,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,2,I Will Possess Your Heart,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,3,No Sunlight,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,4,Cath...,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,5,Talking Bird,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,6,You Can Do Better Than Me,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,7,Grapevine Fires,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,8,Your New Twin Sized Bed,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,9,Long Division,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,10,Pity and Fear,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
Narrow Stairs,11,The Ice Is Getting Thinner,https://upload.wikimedia.org/wikipedia/en/c/c6/Narrow_stairs.jpg,,,
