_id,_info,_model,cabriolet,city,country,info,make,mileage,model,post_time,price,state,transmission,turbo,year,color
1,Perfect beginning HPDE Porsche Cayman S,Cayman S,FALSE,Downingtown,USA,Perfect beginning HPDE Porsche Cayman S,Porsche,59654,Cayman,2019-05-20T19:42:00.000Z,27500,PA,Manual,FALSE,2007,gray
2,FS: 2012 997.2 GTS Touring Conversion,Carrera GTS,FALSE,San Jose,USA,FS: 2012 997.2 GTS Touring Conversion,Porsche,39000,911,2019-11-12T03:27:00.000Z,75800,CA,Automatic,FALSE,2012,silver
3,2012 911 Turbo S,Turbo S,FALSE,Dallas,United States,2012 911 Turbo S,Porsche,22300,911,11/15/19 20:17,90000,TX,Automatic,TRUE,2012,unknown
4,2007 997 Turbo Guards Red Tiptronic 22900 miles,Turbo,FALSE,Stillwater,United States,"2007 997 Turbo Guards Red Tiptronic 22,900 miles",Porsche,22909,911,11/14/19 17:40,68950,OK,Automatic,TRUE,2007,unknown
5,2006 Porsche Cayman S,Cayman S,FALSE,San Diego,USA,2006 Porsche Cayman S,Porsche,82335,Cayman,2019-11-07T08:58:00.000Z,18995,CA,Manual,FALSE,2006,silver
6,Peridot Cayman R,Cayman R,FALSE,Pound Ridge,USA,Peridot Cayman R,Porsche,53000,Cayman,2019-10-21T23:27:00.000Z,63999,NY,Manual,FALSE,2012,other
7,2005 Carrera S - 6 Speed - (997.1) 76200 Miles,Carrera S,FALSE,Glendale,USA,"2005 Carrera S - 6 Speed - (997.1) 76,200 Miles",Porsche,76000,911,2019-08-11T04:01:00.000Z,28000,CA,Manual,FALSE,2005,silver
8,"FS: 2008 porsche cayman S ""Sport"" #610/700 RS Green",Cayman S,FALSE,Dallas,USA,"FS: 2008 porsche cayman S ""Sport"", #610/700, RS Green",Porsche,99800,Cayman,2019-11-15T01:35:00.000Z,29000,TX,Manual,FALSE,2008,other
9,2012.5 991.1 Carrera S in Agate with full natural red leather,Carrera S,FALSE,Oakland,United States,2012.5 991.1 Carrera S in Agate with full natural red leather,Porsche,55000,911,11/10/19 13:11,57000,CA,Automatic,FALSE,2012,unknown
10,2006 Carrera 4S Cabriolet Manual 4.0,Carrera 4S,TRUE,Asheville,USA,2006 Carrera 4S Cabriolet Manual 4.0,Porsche,52500,911,2019-11-04T18:46:00.000Z,29900,NC,Manual,FALSE,2006,black
11,2007 997.1 911 Turbo COUPE / MANUAL,Turbo,FALSE,Dc,USA,2007 997.1 911 Turbo COUPE / MANUAL,Porsche,57601,911,2019-10-23T15:57:00.000Z,68000,DC,Manual,TRUE,2007,black
12,FS: 2012.2 7-Speed Porsche 991.1 Carrera S with only 3K miles!,Carrera S,FALSE,San Jose,USA,FS: 2012.2 7-Speed Porsche 991.1 Carrera S with only 3K miles!,Porsche,3100,911,2019-11-14T02:31:00.000Z,76800,CA,Manual,FALSE,2012,black
13,2007 C4S with lots of mods,Carrera 4S,FALSE,Houston,USA,2007 C4S with lots of mods,Porsche,45500,911,2019-06-04T17:42:00.000Z,42000,TX,Automatic,FALSE,2007,black
14,2011 911 C4S Manual Transmission - funnest car ever made,Carrera 4S,FALSE,Austin,United States,2011 911 C4S Manual Transmission - funnest car ever made,Porsche,61000,911,11/9/19 18:34,55000,TX,Manual,FALSE,2011,unknown
15,2008 Porsche 911 Targa 4S - Manual Transmission,Targa 4S,FALSE,Minneapolis,USA,2008 Porsche 911 Targa 4S - Manual Transmission,Porsche,16930,911,2019-11-07T22:49:00.000Z,60000,MN,Manual,FALSE,2008,black
16,FS: 2005 997.1 911 S track/street car new transmission many great parts proven,Carrera S,FALSE,Saint Joseph,USA,"FS: 2005 997.1 911 S track/street car, new transmission, many great parts, proven",Porsche,32856,911,2019-11-06T00:40:00.000Z,40000,MO,Manual,FALSE,2005,silver
17,2009 Cayman S (PDK),Cayman S,FALSE,Willow Grove,United States,2009 Cayman S (PDK),Porsche,104800,Cayman,10/28/19 16:48,25000,PA,Automatic,FALSE,2009,unknown
18,2011 Porsche 997.2 GTS (Ultra rare build. Full Aero Carbon Buckets Low Milage),Carrera GTS,FALSE,Vancouver Canada,Canada,"2011 Porsche 997.2 GTS (Ultra rare build. Full Aero, Carbon Buckets, Low Milage)",Porsche,22000,911,2019-06-13T06:02:00.000Z,79500,BC,Automatic,FALSE,2011,white
19,2012.5 Porsche 911 Carrera S coupe (991),Carrera S,FALSE,Oviedo,USA,2012.5 Porsche 911 Carrera S coupe (991),Porsche,24000,911,2019-10-17T21:17:00.000Z,64900,FL,Automatic,FALSE,2012,black
20,Speed Yellow 997 Turbo 6 speed,Turbo,FALSE,Manalapan,USA,Speed Yellow 997 Turbo 6 speed,Porsche,49500,911,2019-08-07T04:17:00.000Z,69900,NJ,Manual,TRUE,2007,yellow
21,2006 Cayman S w/ tasteful upgrades & new paint,Cayman S,FALSE,Reno,USA,2006 Cayman S w/ tasteful upgrades & new paint,Porsche,61715,Cayman,2019-11-01T06:19:00.000Z,27000,NV,Manual,FALSE,2006,black
22,Dealer Inventory CNC Motors: 2011 GT3 RS In Carrera White w/ White Gold Contrast!,GT3 RS,FALSE,Upland,USA,Dealer Inventory CNC Motors: 2011 GT3 RS In Carrera White w/ White Gold Contrast!,Porsche,11558,911,2019-07-14T02:10:00.000Z,169997,CA,Manual,FALSE,2011,white
23,FS: 2006 Cayman S DE/Racecar - Currently an SPC spec PCA Club Racer,Cayman S,FALSE,Randolph,USA,FS: 2006 Cayman S DE/Racecar - Currently an SPC spec PCA Club Racer,Porsche,25000,Cayman,2019-02-05T06:56:00.000Z,48000,NJ,Manual,FALSE,2006,black
24,2006 Porsche 911 Carrera S 3.8l Track Car GT3 Crayon Clone,GT3,FALSE,Houston,USA,2006 Porsche 911 Carrera S 3.8l Track Car GT3 Crayon Clone,Porsche,42000,911,2019-10-06T20:58:00.000Z,50000,TX,Manual,FALSE,2006,gray
25, 2006 Cayman S for sale very good condition but does not run,Cayman S,FALSE,Kansas City,USA, 2006 Cayman S for sale very good condition but does not run,Porsche,54000,Cayman,2019-11-11T23:28:00.000Z,9000,MO,Manual,FALSE,2006,silver
26,The Ultimate Cayman R Track Car,Cayman R,FALSE,West Palm Beach,USA,The Ultimate Cayman R Track Car,Porsche,19600,Cayman,2019-07-29T02:50:00.000Z,71900,FL,Automatic,FALSE,2012,blue
27,2005 Porsche Carrera S,Carrera S,FALSE,Cumming,USA,2005 Porsche Carrera S,Porsche,52500,911,2019-10-23T02:23:00.000Z,44999,GA,Manual,FALSE,2005,gray
28,2009 Porsche Cayman PDK - street/track,Cayman,FALSE,Lawrenceburg,USA,2009 Porsche Cayman PDK - street/track,Porsche,85000,Cayman,2019-06-07T01:39:00.000Z,27500,TN,Automatic,FALSE,2009,black
29,06 Cayman 987.1 Track Car with 3.6L X51,Cayman,FALSE,St Pete Clearwater Area,USA,06 Cayman 987.1 Track Car with 3.6L X51,Porsche,40000,Cayman,2019-06-03T21:10:00.000Z,55000,FL,Manual,FALSE,2006,silver
30, 2007 Cayman S Manual in Cobalt Blue,Cayman S,FALSE,Parker,USA, 2007 Cayman S Manual in Cobalt Blue,Porsche,30600,Cayman,2019-10-30T04:45:00.000Z,26000,TX,Manual,FALSE,2007,blue
31,Perfect Beginning HPDE Cayman S,Cayman S,FALSE,Downingtown,USA,Perfect Beginning HPDE Cayman S,Porsche,59000,Cayman,2019-05-28T19:22:00.000Z,27500,PA,Manual,FALSE,2007,gray
32,2007 Porsche 911 Turbo - 39k miles - Loaded,Turbo,FALSE,Boca Raton,USA,2007 Porsche 911 Turbo - 39k miles - Loaded,Porsche,39200,911,2019-11-06T00:58:00.000Z,79900,FL,Manual,TRUE,2007,blue
33,2006 Porsche 911 Carrera 6spd Sunroof Aero Kit Sport Chrono Custom Paint Extras,Carrera,FALSE,Chesterfield,USA,"2006 Porsche 911 Carrera, 6spd, Sunroof, Aero Kit, Sport Chrono, Custom Paint, Extras",Porsche,66013,911,2019-10-31T03:11:00.000Z,36000,MI,Manual,FALSE,2006,blue
34,2007 Porsche 911 Turbo (997) Coupe,Turbo,FALSE,Ann Arbor,USA,2007 Porsche 911 Turbo (997) Coupe,Porsche,23789,911,2019-10-10T00:24:00.000Z,72500,MI,Automatic,TRUE,2007,gray
35,xlnt 997.2 C4S,Carrera 4S,FALSE,Santa Monica,USA,xlnt 997.2 C4S,Porsche,62000,911,2019-11-04T07:48:00.000Z,54000,CA,Automatic,FALSE,2009,gray
36,2009 911 C4S Cabriolet PDK/ 997.2,Carrera 4S,TRUE,Cypress,United States,2009 911 C4S Cabriolet PDK/ 997.2,Porsche,58000,911,8/21/19 0:53,45000,CA,Automatic,FALSE,2009,unknown
37,2006 Porsche 911 Carrera S 6spd,Carrera S,FALSE,San Diego,USA,2006 Porsche 911 Carrera S 6spd,Porsche,85000,911,2019-09-13T04:08:00.000Z,37500,CA,Manual,FALSE,2006,blue
